email_preview,score,grade,tone,politeness,pa,sarcasm,urgency,risk_count
"Will, I didn't get to review this. I will give you feedback tomorrow morning Phi",100,Excellent,professional,polite,neutral,neutral,medium,0
"Tara, Please make the following changes: FT-West -change master user from Philli",100,Excellent,professional,polite,neutral,neutral,low,0
"Susan, I received an enrollment confirmation for a class that I did not sign up ",100,Excellent,professional,polite,neutral,neutral,low,0
Jeff/Brenda: Please authorize the following products for approval. customers are,100,Excellent,professional,polite,neutral,neutral,medium,0
forecast for socal demand/rec/storage. Looks like they will need more gas at ehr,100,Excellent,professional,polite,neutral,neutral,low,0
"Griff, It is bidweek again. I need to provide view only ID's to the two major pu",90,Excellent,professional,polite,neutral,neutral,high,0
"Jeff/Brenda, Please authorize and forward to Tara Sweitzer. Please set up the fo",95,Excellent,professional,polite,neutral,neutral,high,0
"Mary Received an email from you on 1/7, but there was no message. Please try aga",100,Excellent,professional,polite,neutral,neutral,low,0
What did mary write? Stage misses you? I sent 2 emails. Maybe mary is stalking g,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/11/99 02:39 PM,100,Excellent,professional,polite,neutral,neutral,low,0
"Naomi, The two analysts that I have had contact with are Matt Lenhart and Vishal",95,Excellent,professional,polite,neutral,neutral,high,0
"Outlook Migration Team@ENRON 05/11/2001 01:49 PM Ann Hill/Corp/Enron@ENRON, Sonj",100,Excellent,professional,polite,neutral,neutral,low,0
Let me know when you get the quotes from Pauline. I am expecting to pay somethin,96,Excellent,professional,polite,neutral,neutral,high,0
"Jeff, Jacques Craig will draw up a release. What is the status on the quote from",100,Excellent,professional,polite,neutral,neutral,low,0
Send his resume to Karen Buckley. I believe there will be a full round of interv,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 11:22 ,100,Excellent,professional,polite,neutral,neutral,low,0
Can you guys coordinate to make sure someone listens to this conference call eac,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 06:54 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/04/2001 10:15 ,100,Excellent,professional,polite,neutral,neutral,low,0
Traveling to have a business meeting takes the fun out of the trip. Especially i,93,Excellent,professional,polite,neutral,neutral,high,0
"Tim, mike grigsby is having problems with accessing the west power site. Can you",100,Excellent,professional,polite,neutral,neutral,low,0
"Reagan, Just wanted to give you an update. I have changed the unit mix to includ",87,Excellent,professional,polite,passive_aggressive,neutral,low,1
"Jim, Is there going to be a conference call or some type of weekly meeting about",75,Acceptable,professional,impolite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
Have him send his resume to Karen Buckley in HR. There is a new round of trading,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Alan, You should have received updated numbers from Keith Holst. Call me if you ",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 11:21 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 10:36 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Tim, Can you authorize access to the west power site for Keith Holtz. He is our ",94,Excellent,professional,polite,neutral,neutral,high,0
"Gary, I have also been speaking to Johnnie Brown in San Antonio to be the genera",95,Excellent,professional,polite,neutral,neutral,high,0
"Ray, Is there any detail on the gas cost proxy. Which delivery points from which",100,Excellent,professional,polite,neutral,neutral,low,0
"Andrea, After reviewing Bryan Hull's resume, I think he would be best suited for",100,Excellent,professional,polite,neutral,neutral,low,0
"Ned, Regarding the Waha storage, the west desk does not have a strong need for t",95,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/25/2001 01:51 ,100,Excellent,professional,polite,neutral,neutral,low,0
Are there behind closed doors discussions being held prior to the meeting? Is th,100,Excellent,professional,polite,neutral,neutral,low,0
"Gary, Here is a photograph of a similar house. The dimensions would be 56'Wide X",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 02:23 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Frank, The implied risk created by the san juan and rockies indeces being partia",100,Excellent,professional,polite,neutral,neutral,medium,0
I just spoke to the insurance company. They are going to cancel and prorate my p,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 09:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Griff, It is bidweek again. I need to provide view only ID's to the two major pu",90,Excellent,professional,polite,neutral,neutral,high,0
Send his resume to Karen Buckley. I believe there will be a full round of interv,100,Excellent,professional,polite,neutral,neutral,low,0
Have him send his resume to Karen Buckley in HR. There is a new round of trading,100,Excellent,professional,polite,neutral,neutral,low,0
"Andrea, After reviewing Bryan Hull's resume, I think he would be best suited for",100,Excellent,professional,polite,neutral,neutral,low,0
"Johnnie, Thank you for meeting with me on Friday. I left feeling very optimistic",94,Excellent,professional,polite,neutral,neutral,high,0
"Ina, Can you please forward the presentation to Mog. Phillip -------------------",100,Excellent,professional,polite,neutral,neutral,low,0
"Chad, Call Ted Bland about the trading track program. All the desks are trying t",100,Excellent,professional,polite,neutral,neutral,low,0
"How am I to send them the money for the silent second? Regular mail, overnight, ",100,Excellent,professional,polite,neutral,neutral,low,0
The topic will the the western natural gas market. I may have overhead slides. I,100,Excellent,professional,polite,neutral,neutral,low,0
"Johnnie, Thank you for meeting with me on Friday. I left feeling very optimistic",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/18/2001 08:10 ,100,Excellent,professional,polite,neutral,neutral,low,0
"The insurance company is: Central Insurance Agency, Inc 6000 N., Lamar P.O. Box ",75,Acceptable,professional,impolite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/12/2001 10:33 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Here is a simplistic spreadsheet. I didn't drop in the new generation yet, but e",100,Excellent,professional,polite,neutral,neutral,low,0
I will try and get my dad to take the appraiser into a couple of units. Let me k,100,Excellent,professional,polite,neutral,neutral,low,0
"Larry, It sounds like Claudia and Jacques are almost finished with the documents",100,Excellent,professional,polite,neutral,neutral,low,0
"Bruce, Thank you for your bid. I have decided on a floor plan. I am going to hav",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jeff, Jacques Craig will draw up a release. What is the status on the quote from",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/10/2001 05:50 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is the rentroll from last friday. The closing was to be this Thursday",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/09/2001 04:48 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Reagan, I sent you an email last week stating that I would be in San Marcos on F",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
"Jacques, The amounts needed to fill in the blanks on Exhibit ""B"" are as follows:",93,Excellent,professional,polite,neutral,neutral,high,0
"John, Regarding the employment agreement, Mike declined without a counter. Keith",100,Excellent,professional,polite,neutral,neutral,low,0
Thanks for the response. I think you are right that engaging an architect is the,100,Excellent,professional,polite,neutral,neutral,low,0
Do you have a distribution list to send this to all the traders. Phillip -------,75,Acceptable,professional,impolite,neutral,neutral,low,0
"Ina, Can you please forward the presentation to Mog. Phillip -------------------",100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, The assets and liabilities that we are willing to assume are listed bel",91,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/02/2001 02:49 ,100,Excellent,professional,polite,neutral,neutral,low,0
Jacques I am out of the office for the rest of the week. Have you ever seen anyo,100,Excellent,professional,polite,neutral,neutral,medium,0
"Reagan, I am still reviewing the numbers but here are some initial thoughts. Are",70,Acceptable,professional,polite,passive_aggressive,neutral,high,1
"Cary, Here is the picture of the house I have in mind. I was going for a simple ",95,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/29/2001 10:10 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/29/2001 10:03 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Cary, Here is the picture of the house I have in mind. I was going for a simple ",95,Excellent,professional,polite,neutral,neutral,high,0
"Chad, Call Ted Bland about the trading track program. All the desks are trying t",100,Excellent,professional,polite,neutral,neutral,low,0
"Reagan, Thank you for the quick response on the bid for the residence. Below is ",86,Excellent,professional,polite,neutral,sarcastic,high,0
"Larry, Jacques has sent a document to Claudia for your review. Just dropping you",100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, Would it be ok if I signed new consulting agreements with the engineer ",95,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/27/2001 02:29 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/27/2001 12:06 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, Here are my comments and questions on the cost estimates: Cost per square ",95,Excellent,professional,polite,neutral,neutral,high,0
"Grif, Please provide a temporary id Phillip ---------------------- Forwarded by ",100,Excellent,professional,polite,neutral,neutral,low,0
"John, Mike is fine with signing a new contract (subject to reading the terms, of",100,Excellent,professional,polite,neutral,neutral,medium,0
"Reagan, Here is a photograhph of the house I have in mind. Specific features inc",94,Excellent,professional,polite,neutral,neutral,high,0
"How am I to send them the money for the silent second? Regular mail, overnight, ",100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, Something that I forgot to ask you. Do you know if Hugo is planning to rep",100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, The agreement looks fine. My only comment is that George and Larry migh",75,Acceptable,professional,polite,passive_aggressive,neutral,high,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/26/2001 10:03 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Steve, Try bmckay@enron.com or Brad.McKay@enron.com",100,Excellent,professional,polite,neutral,neutral,low,0
"Larry, Jacques has been working with Claudia. I will check his progress this mor",100,Excellent,professional,polite,neutral,neutral,medium,0
"Greg, just a note to let you know I will be out of the office Wed(3/21) until Th",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jacques, Here is Larry Lewter's response to my request for more documentation to",100,Excellent,professional,polite,neutral,neutral,low,0
"Ina, Can you help me approve this request? Phillip ---------------------- Forwar",100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, Still trying to close the loop on the $15,000 of extensions. Assuming t",100,Excellent,professional,polite,neutral,neutral,medium,0
The topic will the the western natural gas market. I may have overhead slides. I,100,Excellent,professional,polite,neutral,neutral,low,0
"Larrry, I realize you are disappointed about the project. It is not my desire fo",92,Excellent,frustrated,polite,neutral,neutral,low,0
"Jacques, I think we reached an agreement with George and Larry to pick up the it",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 03:41 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is the rentroll. My only questions are about #18, #25, and #37 missed",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
I also need to know the base salaries of Jay Reitmeyer and Monique Sanchez. They,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 02:22 ,100,Excellent,professional,polite,neutral,neutral,low,0
Thanks for the information. It would be helpful if you would send the detailed w,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/15/2001 12:38 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Somehow my email account lost the rentroll you sent me on Tuesday. Please ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/14/2001 06:51 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, I am in the office today. Any isssues to deal with for the stagecoach? Phi",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/14/2001 04:02 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/14/2001 04:01 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Gentlemen, Today I finally received some information on the status of the work d",100,Excellent,professional,polite,neutral,neutral,medium,0
Here is the buyout spreadsheet again with a slight tweak in the format. The summ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, George finally sent me some information. Please look over his email. He",75,Acceptable,professional,polite,passive_aggressive,neutral,high,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/13/2001 04:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"George, I didn't receive the information on work completed or started. Please se",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/12/2001 11:47 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is a rentroll for this week. What is the outstanding balance on #1. I",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
"Please approve Mike Grigsby for Bloomberg. Thank You, Phillip Allen",75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/18/2001 08:10 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/08/2001 01:32 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Darrell, Today I let the builder/developer know that I would not proceed with hi",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/07/2001 01:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Reagan, Here is the cost estimate and proforma prepared by George and Larry. I a",100,Excellent,professional,polite,neutral,neutral,low,0
"Daryl, Here is the file that includes the proforma, unit costs, and comps. This ",100,Excellent,professional,polite,neutral,neutral,medium,0
"Al, I was not going to do the MS this year. Thanks for the offer though. All is ",100,Excellent,professional,polite,neutral,neutral,medium,0
"John, Did you put Frank Hayden up to this? If this decision is up to me I would ",100,Excellent,professional,polite,neutral,neutral,low,0
"George, I am back in the office and ready to focus on the project. I still have ",100,Excellent,professional,polite,neutral,neutral,medium,0
"The insurance company is: Central Insurance Agency, Inc 6000 N., Lamar P.O. Box ",75,Acceptable,professional,impolite,neutral,neutral,medium,0
"George, I am back in the office and ready to focus on the project. I still have ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/05/2001 01:59 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Don, I was out last week. Regarding the Montana supply, you can refer them to Ma",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/05/2001 07:10 ,100,Excellent,professional,polite,neutral,neutral,low,0
Please find attached the pro formas for the project in San Marcos. Thanks again.,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here are few questions regarding the 2/16 rentroll: #2 Has she actually pa",95,Excellent,professional,polite,neutral,neutral,high,0
"George, I can take a day off the week I get back from vacation. Any day between ",100,Excellent,professional,polite,neutral,neutral,medium,0
"George, The numbers on your fax don't agree to the first estimate that I am usin",87,Excellent,aggressive,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/23/2001 02:27 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Attached are two files that illustrate the following: As prices rose, supply inc",75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/23/2001 11:17 ,100,Excellent,professional,polite,neutral,neutral,low,0
You can fax it anytime. But I saved the spreadsheets from the previous estimates,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/22/2001 08:49 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2001 04:25 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2001 03:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2001 03:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2001 03:36 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2001 03:30 ,100,Excellent,professional,polite,neutral,neutral,low,0
"John, Does next Thursday at 3pm fit your schedule to go over the rockies forecas",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/13/2000 11:28 ,100,Excellent,professional,polite,neutral,neutral,low,0
The spinning bikes are so much better than the life cycles. Would you consider p,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/20/2001 12:11 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/20/2001 11:59 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jaques, After meeting with George and Larry, it was clear that we have different",79,Acceptable,professional,polite,passive_aggressive,neutral,high,1
"George, Please send the latest cost estimates when you get a chance this morning",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jeanie, Lavorato called me into his office to question me about my inquiries int",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/18/2001 07:44 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/18/2001 07:42 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Christy, I read these points and they definitely need some touch up. I don't und",100,Excellent,professional,polite,neutral,neutral,low,0
I would like to have a copy of the appraisal. See you Monday at 2. Phillip,100,Excellent,professional,polite,neutral,neutral,low,0
"Andrew, Here is an asset statement. I will mail my 98 & 99 Tax returns plus a 20",100,Excellent,professional,polite,neutral,neutral,low,0
"Lee, Can you provide me with a copy of the original loan and a copy of the origi",100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, Here is the application from SPB. I guess they want to use the same form a",100,Excellent,professional,polite,neutral,neutral,medium,0
Forward Reg Dickson's resume to Ted Bland for consideration for the trading trac,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Thanks for clearing up the 2/2 file. Moving on to 2/9, here are some quest",100,Excellent,professional,polite,neutral,neutral,low,0
"Lee, My fax number is 713-646-2391. Please fax me a loan application that I can ",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is the 2/2 rentroll. The total does not equal the bank deposit. Your ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/14/2001 08:23 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, The kids are into typical toys and games. Justin likes power ranger stuff.",100,Excellent,professional,polite,neutral,neutral,low,0
"Colleen, I checked the transport model and found the following extrinsic values ",95,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/12/2001 12:18 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/12/2001 11:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/12/2001 11:09 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is a draft of a memo we should distribute to the units that are subje",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/09/2001 09:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is the rentroll for this Friday. Sorry it is so late. There are a few",93,Excellent,frustrated,polite,neutral,neutral,medium,0
I will email you an updated operating statement with Nov and Dec tomorrow mornin,100,Excellent,professional,polite,neutral,neutral,low,0
"Jacques, Can you draft the partnership agreement and the construction contract? ",74,Acceptable,professional,polite,passive_aggressive,neutral,high,1
"Lucy, Here is a final 12/01 rentroll for you to save. My only questions are: 1. ",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/07/2001 07:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/06/2001 02:12 ,100,Excellent,professional,polite,neutral,neutral,low,0
Send it to Ina Rangel she can forward it to appropriate traders. There are too m,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, My target is to get $225 back out of the stage. Therefore, I could take a ",90,Excellent,professional,polite,neutral,neutral,high,0
"Jeff, I am not willing to guarantee to refinance the 1st lien on the stage in 4 ",88,Excellent,aggressive,polite,neutral,neutral,low,0
"Susan, Raised your issue to Sally Beck. Larry is going to spend time with you to",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/05/2001 08:45 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/02/2001 04:43 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Please fix #41 balance by deleting the $550 in the ""Rent Due"" column. The ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/02/2001 03:43 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/07/2000 09:08 ,100,Excellent,professional,polite,neutral,neutral,low,0
I would like to go to this meeting. Can you arrange it? ---------------------- F,100,Excellent,professional,polite,neutral,neutral,low,0
Susan hours are out of hand. We need to find a solution. Let's meet on Monday to,75,Acceptable,professional,impolite,neutral,neutral,medium,0
Got your email. I will let Jacques know. I guess we can work out the finer point,80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
"George, The probability of building a house this year is increasing. I have shif",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
8500????? That's twice as valuable as your car! Can't you get a used one for $30,89,Excellent,professional,polite,neutral,sarcastic,low,0
Nice. how much? Are you trying to keep the economy going?,100,Excellent,professional,polite,neutral,neutral,low,0
Testing. Sell low and buy high ---------------------- Forwarded by Phillip K All,75,Acceptable,professional,impolite,neutral,neutral,low,0
"Jeff, Before you write off the stage, a few things to think about. 1. Operating ",74,Acceptable,professional,polite,passive_aggressive,neutral,high,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/31/2001 07:12 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, What is the latest? Write me a note about what is going on and what issues",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 12/06/2000 04:04 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/30/2001 11:21 ,100,Excellent,professional,polite,neutral,neutral,low,0
"George, Keith and I are reviewing your proposal. We will send you a response by ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/29/2001 03:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, That is good news about Leander. Now for the stage. I would like to get it",90,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/29/2001 12:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
"George, We should hear from the bank in Houston on Monday. The best numbers and ",100,Excellent,professional,polite,neutral,neutral,medium,0
"Dexter, You should receive a guest id shortly. Phillip",100,Excellent,professional,polite,neutral,neutral,low,0
"Griff, Can you accomodate Dexter as we have in the past. This has been very help",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/26/2001 09:41 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Patti, This sounds like an opportunity to land a couple of analyst to fill the g",100,Excellent,professional,polite,neutral,neutral,low,0
I would support Matt Lenhart's promotion to the next level. I would oppose Ken S,100,Excellent,professional,polite,neutral,neutral,low,0
"Nick, There is a specific program that we are using to recruit, train, and mento",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/25/2001 12:39 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, #32 and #29 are fine. #28 paid weekly on 1/5. Then he switched to biweekly",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/25/2001 08:17 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Here is a rentroll for this week. I still have questions on #28,#29, and #",100,Excellent,professional,polite,neutral,neutral,medium,0
"Larry, I met with a banker that is interested in financing the project. They nee",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/22/2001 02:06 ,100,Excellent,professional,polite,neutral,neutral,low,0
"By STEVE EVERLY - The Kansas City Star As natural gas prices rose in December, t",92,Excellent,professional,polite,neutral,neutral,high,0
please remove my name and information from the registered user list. Do not sell,89,Excellent,aggressive,polite,neutral,neutral,low,0
"Jeff, Here is a recent rentroll. I understand another looker went to the propert",93,Excellent,professional,polite,neutral,neutral,high,0
"Larry, The wire should go out today. I am in Portland but can be reached by cell",100,Excellent,professional,polite,neutral,neutral,medium,0
"Lucy, Why did so many tenants not pay this week? #12 95 #21 240 #27 120 #28 260 ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/16/2001 07:25 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/16/2001 07:18 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Kristin, Thank you for the California update. Please continue to include me in a",100,Excellent,professional,polite,neutral,neutral,low,0
"Andrea, Please resend the first three resumes. Phillip",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/12/2001 01:45 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/12/2001 01:34 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jim, Here are the key gas contacts. Work Home Cell Phillip Allen X37041 713-463-",76,Acceptable,professional,impolite,neutral,neutral,low,0
"Lucy, The apartments that have new tenants since December 15th are: 1,2,8,12,13,",100,Excellent,professional,polite,neutral,neutral,medium,0
"Larry, Do you want the loan and wire amount to be for exactly $1.1 million. Phil",100,Excellent,professional,polite,neutral,neutral,low,0
"George, Here is a spreadsheet that illustrates the payout of investment and buil",73,Acceptable,professional,polite,passive_aggressive,neutral,high,1
"Lucy, Here is a schedule of the most recent utility bills and the overages. Ther",100,Excellent,professional,polite,neutral,neutral,medium,0
We do not understand our VAR. Can you please get us all the detailed reports and,100,Excellent,professional,polite,neutral,neutral,medium,0
"Ted, Andrea in the analysts pool asked me to fill out this request. Can you help",100,Excellent,professional,polite,neutral,neutral,low,0
